ID_T,ID_C_T,RANK_T,PRIZE_T,LATITUDE_T,LONGITUDE_T,TYPE_T_1,TYPE_T_2,TYPE_T_3,TYPE_T_4,TYPE_T_5,TYPE_T_6
251,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
252,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
253,1,3,2406.941653260699,25.46,-80.12,1,0,0,0,0,0
254,2,2,2406.941653260699,33.45,-84.23,0,1,0,0,0,0
255,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
256,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
257,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
258,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
259,2,2,2406.941653260699,39.3,3.0,0,1,0,0,0,0
260,2,2,2406.941653260699,48.08,11.34,0,1,0,0,0,0
261,2,2,2406.941653260699,28.32,-81.23,0,1,0,0,0,0
262,2,3,2406.941653260699,41.54,12.29,0,1,0,0,0,0
263,2,3,2406.941653260699,53.33,9.59,0,1,0,0,0,0
264,2,2,2406.941653260699,48.12,15.37,0,1,0,0,0,0
266,2,4,2406.941653260699,48.52,2.2,0,1,0,0,0,0
267,5,2,2406.941653260699,51.59,9.33,0,0,0,0,1,0
268,5,2,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
269,5,2,2406.941653260699,52.58,-1.1,0,0,0,0,1,0
270,5,2,2406.941653260699,51.42,5.19,0,0,0,0,1,0
271,5,4,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
272,2,2,2406.941653260699,56.26,12.51,0,1,0,0,0,0
273,2,2,2406.941653260699,46.28,7.17,0,1,0,0,0,0
274,5,2,2406.941653260699,41.29,-71.19,0,0,0,0,1,0
275,2,2,2406.941653260699,52.22,4.54,0,1,0,0,0,0
276,2,2,2406.941653260699,48.46,9.11,0,1,0,0,0,0
277,2,2,2406.941653260699,45.25,13.32,0,1,0,0,0,0
278,2,2,2406.941653260699,47.27,12.23,0,1,0,0,0,0
279,1,2,2406.941653260699,34.03,-118.15,1,0,0,0,0,0
280,2,2,2406.941653260699,43.55,12.28,0,1,0,0,0,0
281,1,3,2406.941653260699,43.39,-79.23,1,0,0,0,0,0
282,1,3,2406.941653260699,39.1,-84.27,1,0,0,0,0,0
283,1,2,2406.941653260699,39.46,-86.09,1,0,0,0,0,0
284,1,2,2406.941653260699,38.54,-77.02,1,0,0,0,0,0
285,1,2,2406.941653260699,40.5,-73.0,1,0,0,0,0,0
286,1,4,2406.941653260699,40.43,-74.0,1,0,0,0,0,0
287,2,2,2406.941653260699,44.26,26.06,0,1,0,0,0,0
288,1,2,2406.941653260699,41.2,69.18,1,0,0,0,0,0
289,1,2,2406.941653260699,-33.52,151.13,1,0,0,0,0,0
290,2,2,2406.941653260699,38.07,13.22,0,1,0,0,0,0
291,1,2,2406.941653260699,22.17,114.09,1,0,0,0,0,0
292,1,2,2406.941653260699,35.42,139.46,1,0,0,0,0,0
293,4,2,2406.941653260699,48.13,16.2,0,0,0,1,0,0
294,1,2,2406.941653260699,31.14,121.28,1,0,0,0,0,0
295,3,2,2406.941653260699,43.36,1.26,0,0,1,0,0,0
296,4,2,2406.941653260699,47.33,7.35,0,0,0,1,0,0
297,4,2,2406.941653260699,55.45,37.35,0,0,0,1,0,0
298,3,3,2406.941653260699,48.46,9.11,0,0,1,0,0,0
299,4,2,2406.941653260699,45.45,4.51,0,0,0,1,0,0
300,3,2,2406.941653260699,59.55,30.15,0,0,1,0,0,0
301,4,3,2406.941653260699,48.52,2.2,0,0,0,1,0,0
302,3,2,2406.941653260699,50.5,-0.08,0,0,1,0,0,0
303,3,2,2406.941653260699,59.2,18.03,0,0,1,0,0,0
304,3,3,2406.941653260699,38.43,-9.08,0,0,1,0,0,0
305,1,2,2406.941653260699,-34.55,138.35,1,0,0,0,0,0
306,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
307,1,2,2406.941653260699,25.17,51.32,1,0,0,0,0,0
308,1,2,2406.941653260699,-36.52,174.46,1,0,0,0,0,0
309,1,2,2406.941653260699,-33.52,151.13,1,0,0,0,0,0
310,1,4,2406.941653260699,-37.49,144.58,1,0,0,0,0,0
311,2,2,2406.941653260699,4.36,-74.05,0,1,0,0,0,0
312,4,2,2406.941653260699,45.28,9.12,0,0,0,1,0,0
313,3,2,2406.941653260699,55.4,12.35,0,0,1,0,0,0
314,3,2,2406.941653260699,43.18,5.24,0,0,1,0,0,0
315,2,2,2406.941653260699,-33.02,-71.34,0,1,0,0,0,0
316,2,2,2406.941653260699,-34.36,-58.27,0,1,0,0,0,0
317,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
318,3,2,2406.941653260699,51.55,4.29,0,0,1,0,0,0
319,2,2,2406.941653260699,16.51,-99.55,0,1,0,0,0,0
320,1,2,2406.941653260699,25.18,55.18,1,0,0,0,0,0
321,3,2,2406.941653260699,37.2,-121.54,0,0,1,0,0,0
322,1,2,2406.941653260699,26.28,-80.04,1,0,0,0,0,0
323,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
324,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
325,1,3,2406.941653260699,25.46,-80.12,1,0,0,0,0,0
326,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
327,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
328,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
329,2,2,2406.941653260699,33.45,-84.23,0,1,0,0,0,0
330,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
331,2,2,2406.941653260699,29.46,-95.22,0,1,0,0,0,0
332,2,2,2406.941653260699,39.3,3.0,0,1,0,0,0,0
333,2,2,2406.941653260699,48.08,11.34,0,1,0,0,0,0
334,2,3,2406.941653260699,41.54,12.29,0,1,0,0,0,0
335,2,3,2406.941653260699,53.33,9.59,0,1,0,0,0,0
336,2,2,2406.941653260699,48.12,15.37,0,1,0,0,0,0
338,2,4,2406.941653260699,48.52,2.2,0,1,0,0,0,0
340,5,2,2406.941653260699,51.59,9.33,0,0,0,0,1,0
341,5,2,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
342,5,2,2406.941653260699,51.42,5.19,0,0,0,0,1,0
343,5,2,2406.941653260699,52.58,-1.1,0,0,0,0,1,0
344,5,4,2406.941653260699,51.3,-0.1,0,0,0,0,1,0
345,2,2,2406.941653260699,56.26,12.51,0,1,0,0,0,0
346,2,2,2406.941653260699,46.28,7.17,0,1,0,0,0,0
347,5,2,2406.941653260699,41.29,-71.19,0,0,0,0,1,0
348,2,2,2406.941653260699,52.22,4.54,0,1,0,0,0,0
349,2,2,2406.941653260699,48.46,9.11,0,1,0,0,0,0
350,2,2,2406.941653260699,45.25,13.32,0,1,0,0,0,0
351,2,2,2406.941653260699,47.27,12.23,0,1,0,0,0,0
352,1,2,2406.941653260699,34.03,-118.15,1,0,0,0,0,0
353,2,2,2406.941653260699,54.28,18.34,0,1,0,0,0,0
354,1,3,2406.941653260699,45.31,-73.34,1,0,0,0,0,0
355,1,3,2406.941653260699,39.1,-84.27,1,0,0,0,0,0
356,1,2,2406.941653260699,38.54,-77.02,1,0,0,0,0,0
357,1,2,2406.941653260699,39.46,-86.09,1,0,0,0,0,0
358,1,2,2406.941653260699,40.5,-73.0,1,0,0,0,0,0
359,1,4,2406.941653260699,40.43,-74.0,1,0,0,0,0,0
360,2,2,2406.941653260699,44.26,26.06,0,1,0,0,0,0
361,1,2,2406.941653260699,-12.58,-38.3,1,0,0,0,0,0
362,1,2,2406.941653260699,41.2,69.18,1,0,0,0,0,0
363,1,2,2406.941653260699,31.14,121.28,1,0,0,0,0,0
364,1,2,2406.941653260699,22.17,114.09,1,0,0,0,0,0
365,2,2,2406.941653260699,38.07,13.22,0,1,0,0,0,0
366,4,2,2406.941653260699,55.45,37.35,0,0,0,1,0,0
367,1,2,2406.941653260699,35.42,139.46,1,0,0,0,0,0
368,4,2,2406.941653260699,45.45,4.51,0,0,0,1,0,0
369,3,2,2406.941653260699,48.13,16.2,0,0,1,0,0,0
370,3,3,2406.941653260699,48.46,9.11,0,0,1,0,0,0
371,4,2,2406.941653260699,47.33,7.35,0,0,0,1,0,0
372,3,2,2406.941653260699,59.55,30.15,0,0,1,0,0,0
373,3,2,2406.941653260699,59.2,18.03,0,0,1,0,0,0
374,4,3,2406.941653260699,48.52,2.2,0,0,0,1,0,0
375,3,3,2406.941653260699,-33.52,151.13,0,0,1,0,0,0
376,1,2,2406.941653260699,-34.55,138.35,1,0,0,0,0,0
377,1,2,2406.941653260699,13.05,80.17,1,0,0,0,0,0
378,1,2,2406.941653260699,25.17,51.32,1,0,0,0,0,0
379,1,2,2406.941653260699,-36.52,174.46,1,0,0,0,0,0
380,1,2,2406.941653260699,-33.52,151.13,1,0,0,0,0,0
381,1,4,2406.941653260699,-37.49,144.58,1,0,0,0,0,0
382,4,2,2406.941653260699,45.28,9.12,0,0,0,1,0,0
